"year","make","model","option","category","subcategory","country"
"2001","BMW","R1100","Base","Motorcycle","Powersports","USA"
"2001","BMW","R850","Base","Motorcycle","Powersports","USA"
"2004","BMW","F650GS DAKAR ENDURO","Base","Motorcycle","Powersports","USA"
"2004","BMW","F800ST TOUR","Base","Motorcycle","Powersports","USA"
"2004","BMW","K1200R URBAN","Base","Motorcycle","Powersports","USA"
"2004","BMW","R1200R URBAN","Base","Motorcycle","Powersports","USA"
"2004","BMW","R1200ST TOUR","Base","Motorcycle","Powersports","USA"
"2005","BMW","F650 XCHALLENGE ENDURO","Base","Motorcycle","Powersports","USA"
"2005","BMW","HP2 MEGAMOTO URBAN","Base","Motorcycle","Powersports","USA"
"2005","BMW","K1200GT TOUR","Base","Motorcycle","Powersports","USA"
"2005","BMW","K1200R SPORT","Base","Motorcycle","Powersports","USA"
"2005","BMW","K1200R URBAN","Base","Motorcycle","Powersports","USA"
"2005","BMW","R1200S SPORT","Base","Motorcycle","Powersports","USA"
"2006","BMW","HP2 ENDURO","Base","Motorcycle","Powersports","USA"
"2006","BMW","K1200GT TOUR","Base","Motorcycle","Powersports","USA"
"2006","BMW","R1200RT TOUR","Base","Motorcycle","Powersports","USA"
"2006","BMW","R1200ST TOUR","Base","Motorcycle","Powersports","USA"
"2007","BMW","R1200GS ADVENTURE ENDURO","Base","Motorcycle","Powersports","USA"
"2008","BMW","F650GS ENDURO","Base","Motorcycle","Powersports","USA"
"2008","BMW","F800ST TOUR","Base","Motorcycle","Powersports","USA"
"2008","BMW","K1200R URBAN","Base","Motorcycle","Powersports","USA"
"2008","BMW","R1200GS ENDURO","Base","Motorcycle","Powersports","USA"
"2009","BMW","K1200LT TOUR","Base","Motorcycle","Powersports","USA"
"2009","BMW","R1200GS ADVENTURE ENDURO","Base","Motorcycle","Powersports","USA"
"1995","Big Dog","VINTAGE CLASSIC","Base","Motorcycle","Powersports","USA"
"1996","Big Dog","AEROGLIDE","Base","Motorcycle","Powersports","USA"
"1997","Big Dog","AEROGLIDE","Base","Motorcycle","Powersports","USA"
"1997","Big Dog","AEROSPORT","Base","Motorcycle","Powersports","USA"
"1998","Big Dog","AEROGLIDE","Base","Motorcycle","Powersports","USA"
"1998","Big Dog","VINTAGE CLASSIC","Base","Motorcycle","Powersports","USA"
"1999","Big Dog","VINTAGE SPORT","Base","Motorcycle","Powersports","USA"
"2000","Big Dog","VINTAGE SPORT","Base","Motorcycle","Powersports","USA"
"2000","Big Dog","WOLF","Base","Motorcycle","Powersports","USA"
"2001","Big Dog","VINTAGE SPORT","Base","Motorcycle","Powersports","USA"
"2002","Big Dog","WOLF","Base","Motorcycle","Powersports","USA"
"2003","Big Dog","RIDGEBACK","Base","Motorcycle","Powersports","USA"
"2004","Big Dog","MASTIFF","Base","Motorcycle","Powersports","USA"
"2007","Big Dog","BULLDOG","Base","Motorcycle","Powersports","USA"
"2007","Big Dog","K9","Base","Motorcycle","Powersports","USA"
"2007","Big Dog","MASTIFF","Base","Motorcycle","Powersports","USA"
"2009","Big Dog","MUTT","Base","Motorcycle","Powersports","USA"
"1997","Bikers Dream","CRUISER","Base","Motorcycle","Powersports","USA"
"1998","Bikers Dream","CRUISER","Base","Motorcycle","Powersports","USA"
"1999","Bikers Dream","CRUISER","Base","Motorcycle","Powersports","USA"
"1999","Bikers Dream","FAT POUNDER","Base","Motorcycle","Powersports","USA"
"1999","Bikers Dream","JACKHAMMER","Base","Motorcycle","Powersports","USA"
"1999","Bikers Dream","WIDE ONE","Base","Motorcycle","Powersports","USA"
"1999","Bikers Dream","WIDE TWO","Base","Motorcycle","Powersports","USA"
"2000","Bikers Dream","AVENGER","Base","Motorcycle","Powersports","USA"
"2000","Bikers Dream","FAT POUNDER","Base","Motorcycle","Powersports","USA"
"2000","Bikers Dream","WIDE ONE","Base","Motorcycle","Powersports","USA"
"1990","Bimota","TESI","Base","Motorcycle","Powersports","USA"
"1991","Bimota","YB8","Base","Motorcycle","Powersports","USA"
"1993","Bimota","TESI","Base","Motorcycle","Powersports","USA"
"1994","Bimota","YB10","Base","Motorcycle","Powersports","USA"
"1997","Bimota","DB2","Base","Motorcycle","Powersports","USA"
"1997","Bimota","SUPERMONO","Base","Motorcycle","Powersports","USA"
"1986","Bird Corporation","GO-KART","Base","Go Kart","Powersports","USA"
"1987","Bird Corporation","GO-KART","Base","Go Kart","Powersports","USA"
"1990","Bird Corporation","GO-KART","Base","Go Kart","Powersports","USA"
"1994","Bird Corporation","GO-KART","Base","Go Kart","Powersports","USA"
"1995","Bird Corporation","GO-KART","Base","Go Kart","Powersports","USA"
"1996","Bird Corporation","GO-KART","Base","Go Kart","Powersports","USA"
"1984","Bob's Kart","GO-KART","Base","Go Kart","Powersports","USA"
"1985","Bob's Kart","GO-KART","Base","Go Kart","Powersports","USA"
"1995","Bob's Kart","GO-KART","Base","Go Kart","Powersports","USA"
"1997","Bob's Kart","GO-KART","Base","Go Kart","Powersports","USA"
"2005","Bob's Kart","FUN KART","Base","Go Kart","Powersports","USA"
"2006","Bob's Kart","FUN KART","Base","Go Kart","Powersports","USA"
"2008","Bob's Kart","FUN KART","Base","Go Kart","Powersports","USA"
"1998","Bombardier","TRAXTER","Base","ATV","Powersports","USA"
"1999","Bombardier","DS650","Base","ATV","Powersports","USA"
"2000","Bombardier","QUEST 650","Base","ATV","Powersports","USA"
"2001","Bombardier","QUEST 500","Base","ATV","Powersports","USA"
"2001","Bombardier","RALLY 200","Base","ATV","Powersports","USA"
"2002","Bombardier","DS650","Base","ATV","Powersports","USA"
"2003","Bombardier","DS650","Base","ATV","Powersports","USA"
"2003","Bombardier","QUEST 500","Base","ATV","Powersports","USA"
"2003","Bombardier","TRAXTER","Base","ATV","Powersports","USA"
"2004","Bombardier","DS650 X","Base","ATV","Powersports","USA"
"2004","Bombardier","QUEST 90/DS90 4","Base","ATV","Powersports","USA"
"2004","Bombardier","TRAXTER","Base","ATV","Powersports","USA"
"2004","Bombardier","TRAXTER MAX","Base","ATV","Powersports","USA"
"2004","Bombardier","YOUTH DS90CVC","Base","ATV","Powersports","USA"
"2005","Bombardier","OUTLANDER MAX 400 H.O.","Base","ATV","Powersports","USA"
"2006","Bombardier","RALLY 200","Base","ATV","Powersports","USA"
"2007","Bombardier","DS650 X","Base","ATV","Powersports","USA"
"2007","Bombardier","RENEGADE 800 H.O. EFI","Base","ATV","Powersports","USA"
"1999","Brister","MINIBIKE","Base","Motorcycle","Powersports","USA"
"1994","Buell","S1 LIGHTNING","Base","Motorcycle","Powersports","USA"
"1994","Buell","S2","Base","Motorcycle","Powersports","USA"
"1996","Buell","S1 LIGHTNING","Base","Motorcycle","Powersports","USA"
"1997","Buell","M2 CYCLONE","Base","Motorcycle","Powersports","USA"
"1997","Buell","S1 LIGHTNING","Base","Motorcycle","Powersports","USA"
"1999","Buell","LIGHTNING X1","Base","Motorcycle","Powersports","USA"
"1999","Buell","M2 CYCLONE","Base","Motorcycle","Powersports","USA"
"1999","Buell","THUNDERBOLT S3","Base","Motorcycle","Powersports","USA"
"2000","Buell","BLAST","Base","Motorcycle","Powersports","USA"
"2000","Buell","THUNDERBOLT S3","Base","Motorcycle","Powersports","USA"
"2001","Buell","THUNDERBOLT S3","Base","Motorcycle","Powersports","USA"
"2002","Buell","FIREBOLT XB9R","Base","Motorcycle","Powersports","USA"
"2005","Buell","BLAST","Base","Motorcycle","Powersports","USA"
"2006","Buell","FIREBOLT XB9R","Base","Motorcycle","Powersports","USA"
"2006","Buell","ULYSSES XB12X","Base","Motorcycle","Powersports","USA"
"2007","Buell","FIREBOLT XB12R","Base","Motorcycle","Powersports","USA"
"2007","Buell","LIGHTNING CITY XB9SX","Base","Motorcycle","Powersports","USA"
"2007","Buell","ULYSSES XB12X","Base","Motorcycle","Powersports","USA"
"1997","C.M.S.","SIDEWINDER","Base","Go Kart","Powersports","USA"
"1998","C.M.S.","SIDEWINDER","Base","Go Kart","Powersports","USA"
"1999","C.M.S.","AVENGER R/H","Base","Go Kart","Powersports","USA"
"2001","C.M.S.","AVENGER R/H","Base","Go Kart","Powersports","USA"
"2002","C.M.S.","SIDEWINDER","Base","Go Kart","Powersports","USA"
"2003","C.M.S.","AVENGER R/H","Base","Go Kart","Powersports","USA"
"1990","CCM","604","Base","Motorcycle","Powersports","USA"
"1990","CCM","DAKAR RALLYE","Base","Motorcycle","Powersports","USA"
"1993","CCM","604","Base","Motorcycle","Powersports","USA"
"1993","CCM","DAKAR RALLYE","Base","Motorcycle","Powersports","USA"
"1995","CCM","DAKAR RALLYE","Base","Motorcycle","Powersports","USA"
"1996","CCM","604","Base","Motorcycle","Powersports","USA"
"1997","CCM","DAKAR RALLYE","Base","Motorcycle","Powersports","USA"
"1999","CCM","DAKAR RALLYE","Base","Motorcycle","Powersports","USA"
"2001","CCM","604","Base","Motorcycle","Powersports","USA"
"2003","CCM","604","Base","Motorcycle","Powersports","USA"
"2004","CCM","FT35S","Base","Motorcycle","Powersports","USA"
"2004","CCM","R45","Base","Motorcycle","Powersports","USA"
"2005","CCM","FT710","Base","Motorcycle","Powersports","USA"
"2005","CCM","R35","Base","Motorcycle","Powersports","USA"
"2006","CCM","R35","Base","Motorcycle","Powersports","USA"
"2007","CCM","FT35S","Base","Motorcycle","Powersports","USA"
"2008","CCM","450DS","Base","Motorcycle","Powersports","USA"
"1983","Can-Am","GO-KART","Base","Go Kart","Powersports","USA"
"1983","Can-Am","KIDDIE KART","Base","Go Kart","Powersports","USA"
"1984","Can-Am","KIDDIE KART","Base","Go Kart","Powersports","USA"
"1987","Can-Am","KIDDIE KART","Base","Go Kart","Powersports","USA"
"1988","Can-Am","KIDDIE KART","Base","Go Kart","Powersports","USA"
"1990","Can-Am","GO-KART","Base","Go Kart","Powersports","USA"
"1993","Can-Am","KIDDIE KART","Base","Go Kart","Powersports","USA"
"1994","Can-Am","KIDDIE KART","Base","Go Kart","Powersports","USA"
"1997","Can-Am","KIDDIE KART","Base","Go Kart","Powersports","USA"
"2001","Can-Am","GO-KART","Base","Go Kart","Powersports","USA"
"2004","Can-Am","GO-KART","Base","Go Kart","Powersports","USA"
"2005","Can-Am","GO-KART","Base","Go Kart","Powersports","USA"
"2009","Can-Am","GO-KART","Base","Go Kart","Powersports","USA"
"2000","Cannondale","MX400","Base","Motorcycle","Powersports","USA"
"2001","Cannondale","CANNIBAL 440","Base","ATV","Powersports","USA"
"2002","Cannondale","C440","Base","Motorcycle","Powersports","USA"
"2002","Cannondale","CANNIBAL 440","Base","ATV","Powersports","USA"
"2002","Cannondale","E440","Base","Motorcycle","Powersports","USA"
"2002","Cannondale","GLAMIS 440","Base","ATV","Powersports","USA"
"1993","Carolina Concession","CKD-1000","Base","Go Kart","Powersports","USA"
"1981","Carter Brothers","GO-KART","Base","Go Kart","Powersports","USA"
"1987","Carter Brothers","1708","Base","Go Kart","Powersports","USA"
"1989","Carter Brothers","1708","Base","Go Kart","Powersports","USA"
"1989","Carter Brothers","GO-KART","Base","Go Kart","Powersports","USA"
"1990","Carter Brothers","GO-KART","Base","Go Kart","Powersports","USA"
"1992","Carter Brothers","GO-KART","Base","Go Kart","Powersports","USA"
"2000","Carter Brothers","GO-KART","Base","Go Kart","Powersports","USA"
"2001","Carter Brothers","FUN KART","Base","Go Kart","Powersports","USA"
"2002","Carter Brothers","FUN KART","Base","Go Kart","Powersports","USA"
"2008","Carter Brothers","FUN KART","Base","Go Kart","Powersports","USA"
"1994","Cobra","KING 50","Base","Motorcycle","Powersports","USA"
"2002","Cobra","CM50","Base","Motorcycle","Powersports","USA"
"2003","Cobra","KING 50","Base","Motorcycle","Powersports","USA"
"2006","Cobra","P3","Base","Motorcycle","Powersports","USA"
"2007","Cobra","ECX50","Base","ATV","Powersports","USA"
"2008","Cobra","CX50 OI","Base","Motorcycle","Powersports","USA"
"2009","Cobra","CX65 C.A.R.D.","Base","Motorcycle","Powersports","USA"
"1985","Columbia ParCar","DX4","Base","Golf Car","Powersports","USA"
"1987","Columbia ParCar","DX4","Base","Golf Car","Powersports","USA"
"1991","Columbia ParCar","DX4","Base","Golf Car","Powersports","USA"
"1992","Columbia ParCar","CLASSIC","Base","Golf Car","Powersports","USA"
"1993","Columbia ParCar","CLASSIC","Base","Golf Car","Powersports","USA"
"1994","Columbia ParCar","FOURSOME","Base","Golf Car","Powersports","USA"
"1995","Columbia ParCar","CLASSIC","Base","Golf Car","Powersports","USA"
"1995","Columbia ParCar","FOURSOME","Base","Golf Car","Powersports","USA"
"1996","Columbia ParCar","FORESOME","Base","Golf Car","Powersports","USA"
"1996","Columbia ParCar","FOURSOME","Base","Golf Car","Powersports","USA"
"1997","Columbia ParCar","FORESOME","Base","Golf Car","Powersports","USA"
"1998","Columbia ParCar","FORESOME","Base","Golf Car","Powersports","USA"
"1999","Columbia ParCar","FORESOME","Base","Golf Car","Powersports","USA"
"2000","Columbia ParCar","EAGLE","Base","Golf Car","Powersports","USA"
"2000","Columbia ParCar","FORESOME","Base","Golf Car","Powersports","USA"
"2001","Columbia ParCar","FORESOME","Base","Golf Car","Powersports","USA"
"2002","Columbia ParCar","EAGLE","Base","Golf Car","Powersports","USA"
"2003","Columbia ParCar","FORESOME","Base","Golf Car","Powersports","USA"
"2004","Columbia ParCar","FORESOME","Base","Golf Car","Powersports","USA"
"1999","Confederate","AMERICA GT","Base","Motorcycle","Powersports","USA"
"1999","Confederate","HELLCAT ROADSTR","Base","Motorcycle","Powersports","USA"
"2000","Confederate","CONFEDERADO","Base","Motorcycle","Powersports","USA"
"2006","Confederate","F131 HELLCAT","Base","Motorcycle","Powersports","USA"
"2006","Confederate","RENOVATION","Base","Motorcycle","Powersports","USA"
"2007","Confederate","B120 WRAITH","Base","Motorcycle","Powersports","USA"
"2007","Confederate","F131 HELLCAT","Base","Motorcycle","Powersports","USA"
"1990","Derbi","AVENTURA","Base","Motorcycle","Powersports","USA"
"1990","Derbi","FENIX","Base","Motorcycle","Powersports","USA"
"1990","Derbi","URBAN","Base","Motorcycle","Powersports","USA"
"1992","Derbi","VAMOS","Base","Motorcycle","Powersports","USA"
"1993","Derbi","FURAX","Base","Motorcycle","Powersports","USA"
"1993","Derbi","URBAN","Base","Motorcycle","Powersports","USA"
"1993","Derbi","VAMOS","Base","Motorcycle","Powersports","USA"
"1993","Derbi","VARIANT","Base","Motorcycle","Powersports","USA"
"1995","Derbi","FENIX","Base","Motorcycle","Powersports","USA"
"1995","Derbi","SENDA","Base","Motorcycle","Powersports","USA"
"1995","Derbi","URBAN","Base","Motorcycle","Powersports","USA"
"1997","Derbi","SENDA","Base","Motorcycle","Powersports","USA"
"1996","Downing","GO-KART","Base","Go Kart","Powersports","USA"
"1990","Ducati","SUPERLIGHT 900","Base","Motorcycle","Powersports","USA"
"1990","Ducati","SUPERSPORT 600","Base","Motorcycle","Powersports","USA"
"1990","Ducati","SUPERSPORT 750","Base","Motorcycle","Powersports","USA"
"1991","Ducati","SUPERSPORT 750","Base","Motorcycle","Powersports","USA"
"1992","Ducati","MONSTER 600","Base","Motorcycle","Powersports","USA"
"1992","Ducati","SUPERSPORT 600","Base","Motorcycle","Powersports","USA"
"1993","Ducati","MONSTER 900","Base","Motorcycle","Powersports","USA"
"1993","Ducati","SUPERSPORT 750","Base","Motorcycle","Powersports","USA"
"1993","Ducati","SUPERSPORT 900","Base","Motorcycle","Powersports","USA"
"1994","Ducati","MONSTER 600","Base","Motorcycle","Powersports","USA"
"1994","Ducati","SPORT TOURING 4","Base","Motorcycle","Powersports","USA"
"1994","Ducati","SUPERSPORT 750","Base","Motorcycle","Powersports","USA"
"1995","Ducati","MONSTER 600","Base","Motorcycle","Powersports","USA"
"1995","Ducati","MONSTER 750","Base","Motorcycle","Powersports","USA"
"1995","Ducati","SUPERSPORT 600","Base","Motorcycle","Powersports","USA"
"1995","Ducati","SUPERSPORT 900","Base","Motorcycle","Powersports","USA"
"1996","Ducati","MONSTER 600","Base","Motorcycle","Powersports","USA"
"1996","Ducati","SPORT TOURING 4","Base","Motorcycle","Powersports","USA"
"1996","Ducati","SUPERSPORT 600","Base","Motorcycle","Powersports","USA"
"1996","Ducati","SUPERSPORT 900","Base","Motorcycle","Powersports","USA"
"1997","Ducati","MONSTER 750","Base","Motorcycle","Powersports","USA"
"1998","Ducati","MH900E","Base","Motorcycle","Powersports","USA"
"1998","Ducati","SPORT TOURING 4","Base","Motorcycle","Powersports","USA"
"1999","Ducati","HYPERSPORT 750","Base","Motorcycle","Powersports","USA"
"1999","Ducati","HYPERSPORT 996","Base","Motorcycle","Powersports","USA"
"1999","Ducati","MONSTER 900","Base","Motorcycle","Powersports","USA"
"1999","Ducati","SPORT TOURING 4","Base","Motorcycle","Powersports","USA"
"1999","Ducati","SUPERSPORT 750","Base","Motorcycle","Powersports","USA"
"1999","Ducati","SUPERSPORT 900","Base","Motorcycle","Powersports","USA"
"2001","Ducati","HYPERSPORT 750","Base","Motorcycle","Powersports","USA"
"2001","Ducati","MH900E","Base","Motorcycle","Powersports","USA"
"2001","Ducati","MONSTER 750","Base","Motorcycle","Powersports","USA"
"2001","Ducati","MONSTER 900","Base","Motorcycle","Powersports","USA"
"2001","Ducati","SUPERSPORT 900","Base","Motorcycle","Powersports","USA"
"2002","Ducati","MONSTER 750","Base","Motorcycle","Powersports","USA"
"2002","Ducati","MONSTER 900","Base","Motorcycle","Powersports","USA"
"2002","Ducati","MOTOGP","Base","Motorcycle","Powersports","USA"
"2002","Ducati","SPORT TOURING ST4","Base","Motorcycle","Powersports","USA"
"2002","Ducati","SUPERSPORT 900","Base","Motorcycle","Powersports","USA"
"2003","Ducati","MONSTER 620 DARK","Base","Motorcycle","Powersports","USA"
"2003","Ducati","MULTISTRAD 620","Base","Motorcycle","Powersports","USA"
"2003","Ducati","SPORT TOURING ST4","Base","Motorcycle","Powersports","USA"
"2003","Ducati","SPORT TOURING ST4S","Base","Motorcycle","Powersports","USA"
"2003","Ducati","SUPER SPORT 749","Base","Motorcycle","Powersports","USA"
"2003","Ducati","SUPER SPORT 999","Base","Motorcycle","Powersports","USA"
"2004","Ducati","MONSTER 620 DARK","Base","Motorcycle","Powersports","USA"
"2004","Ducati","SPORT CLASSIC GT1000","Base","Motorcycle","Powersports","USA"
"2004","Ducati","SPORT TOURING ST3","Base","Motorcycle","Powersports","USA"
"2004","Ducati","SPORT TOURING ST3S ABS","Base","Motorcycle","Powersports","USA"
"2004","Ducati","SPORT TOURING ST4","Base","Motorcycle","Powersports","USA"
"2005","Ducati","MONSTER S2R 1000","Base","Motorcycle","Powersports","USA"
"2005","Ducati","MONSTER S2R 800","Base","Motorcycle","Powersports","USA"
"2005","Ducati","MONSTER S2R DARK","Base","Motorcycle","Powersports","USA"
"2005","Ducati","SPORT CLASIC SPORT 1000S","Base","Motorcycle","Powersports","USA"
"2005","Ducati","SPORT CLASSIC SPORT 1000 BIPOSTO","Base","Motorcycle","Powersports","USA"
"2005","Ducati","SPORT CLASSIC SPORT 1000 MONOPOSTO","Base","Motorcycle","Powersports","USA"
"2005","Ducati","SPORT TOURING ST3S ABS","Base","Motorcycle","Powersports","USA"
"2005","Ducati","SPORT TOURING ST4S","Base","Motorcycle","Powersports","USA"
"2005","Ducati","SUPER SPORT 1000DS","Base","Motorcycle","Powersports","USA"
"2005","Ducati","SUPER SPORT 800","Base","Motorcycle","Powersports","USA"
"2006","Ducati","DESMOSEDICI RR","Base","Motorcycle","Powersports","USA"
"2006","Ducati","MONSTER S4R TESTASTRETTA","Base","Motorcycle","Powersports","USA"
"2006","Ducati","SPORT CLASIC SPORT 1000S","Base","Motorcycle","Powersports","USA"
"2006","Ducati","SPORT CLASSIC SPORT 1000 MONOPOSTO","Base","Motorcycle","Powersports","USA"
"2007","Ducati","DESMOSEDICI RR","Base","Motorcycle","Powersports","USA"
"2007","Ducati","MONSTER S4R TESTASTRETTA","Base","Motorcycle","Powersports","USA"
"2007","Ducati","MONSTER S4RS TESTRASTRETTA","Base","Motorcycle","Powersports","USA"
"2007","Ducati","SPORT CLASIC SPORT 1000S","Base","Motorcycle","Powersports","USA"
"2007","Ducati","SPORT TOURING ST3","Base","Motorcycle","Powersports","USA"
"2007","Ducati","SPORT TOURING ST3S ABS","Base","Motorcycle","Powersports","USA"
"2008","Ducati","MONSTER 695","Base","Motorcycle","Powersports","USA"
"2008","Ducati","MONSTER S2R 1000","Base","Motorcycle","Powersports","USA"
"2008","Ducati","MONSTER S4RS TESTRASTRETTA","Base","Motorcycle","Powersports","USA"
"2008","Ducati","SPORT CLASIC SPORT 1000S","Base","Motorcycle","Powersports","USA"
"2008","Ducati","SPORT CLASSIC SPORT 1000 BIPOSTO","Base","Motorcycle","Powersports","USA"
"2008","Ducati","SPORT TOURING ST3","Base","Motorcycle","Powersports","USA"
"2009","Ducati","MONSTER S4RS TESTRASTRETTA","Base","Motorcycle","Powersports","USA"
"2009","Ducati","SPORT CLASSIC GT1000","Base","Motorcycle","Powersports","USA"
"2009","Ducati","SPORT TOURING ST3S ABS","Base","Motorcycle","Powersports","USA"
"1981","E-Z-GO","GX444","Base","Go Kart","Powersports","USA"
"1985","E-Z-GO","GX444","Base","Go Kart","Powersports","USA"
"1990","E-Z-GO","GX444","Base","Golf Car","Powersports","USA"
"1993","E-Z-GO","MEDALIST","Base","Golf Car","Powersports","USA"
"1995","E-Z-GO","MEDALIST","Base","Golf Car","Powersports","USA"
"1997","E-Z-GO","TXT","Base","Golf Car","Powersports","USA"
"1999","E-Z-GO","TXT","Base","Golf Car","Powersports","USA"
"2000","E-Z-GO","TXT","Base","Golf Car","Powersports","USA"
"2001","E-Z-GO","TXT","Base","Golf Car","Powersports","USA"
"2003","E-Z-GO","FREEDOM","Base","Golf Car","Powersports","USA"
"2007","E-Z-GO","TXT","Base","Golf Car","Powersports","USA"
"1992","Earth Vision","SKOOT","Base","Motorcycle","Powersports","USA"
"1995","Earth Vision","SKOOT","Base","Motorcycle","Powersports","USA"
"1995","Eckler","JET-N-SPRAY","Base","Personal Watercraft","Powersports","USA"
"2001","Eckler","JET-N-SPRAY","Base","Personal Watercraft","Powersports","USA"
"1984","Formula K Raceways","GO-KART","Base","Go Kart","Powersports","USA"
"1994","Formula K Raceways","GRAND PRIX KART","Base","Go Kart","Powersports","USA"
"1995","Formula K Raceways","GRAND PRIX KART","Base","Go Kart","Powersports","USA"
"1988","Funmaker","GO-KART","Base","Go Kart","Powersports","USA"
"1990","Funmaker","GO-KART","Base","Go Kart","Powersports","USA"
"1994","Funmaker","GO-KART","Base","Go Kart","Powersports","USA"
"1996","Funmaker","GO-KART","Base","Go Kart","Powersports","USA"
"1999","Funmaker","GO-KART","Base","Go Kart","Powersports","USA"
"2004","Go-Ped","SUPER GSR46R","Base","Motorcycle","Powersports","USA"
"2005","Go-Ped","GTR46 TRAIL RIPPER","Base","Motorcycle","Powersports","USA"
"2005","Go-Ped","RIOT 29","Base","Motorcycle","Powersports","USA"
"2005","Go-Ped","SUPER GSR46R","Base","Motorcycle","Powersports","USA"
"2006","Go-Ped","GTR46I","Base","Motorcycle","Powersports","USA"
"2006","Go-Ped","SPORT","Base","Motorcycle","Powersports","USA"
"2007","Go-Ped","RIOT 46","Base","Motorcycle","Powersports","USA"
"2007","Go-Ped","SUPER X-PED","Base","Motorcycle","Powersports","USA"
"2008","Go-Ped","GTR46 TRAIL RIPPER","Base","Motorcycle","Powersports","USA"
"2008","Go-Ped","RIOT 46","Base","Motorcycle","Powersports","USA"
"2008","Go-Ped","SUPER GSR46R","Base","Motorcycle","Powersports","USA"
"2009","Go-Ped","SUPER X-PED","Base","Motorcycle","Powersports","USA"
"1992","Hang Ten","GO-KART","Base","Go Kart","Powersports","USA"
"1993","Hang Ten","GO-KART","Base","Go Kart","Powersports","USA"
"1995","Hang Ten","GO-KART","Base","Go Kart","Powersports","USA"
"1999","Hang Ten","GO-KART","Base","Go Kart","Powersports","USA"
"1981","Harley-Davidson","CUSTOM","Base","Motorcycle","Powersports","USA"
"1981","Harley-Davidson","GOLF CART","Base","Golf Car","Powersports","USA"
"1981","Harley-Davidson","TOUR","Base","Motorcycle","Powersports","USA"
"1982","Harley-Davidson","DYNA","Base","Motorcycle","Powersports","USA"
"1983","Harley-Davidson","DYNA","Base","Motorcycle","Powersports","USA"
"1983","Harley-Davidson","SPORTSTER","Base","Motorcycle","Powersports","USA"
"1984","Harley-Davidson","CLASSIC TOUR GLIDE","Base","Motorcycle","Powersports","USA"
"1984","Harley-Davidson","DYNA LOW RIDER","Base","Motorcycle","Powersports","USA"
"1984","Harley-Davidson","DYNA WIDE GLIDE","Base","Motorcycle","Powersports","USA"
"1984","Harley-Davidson","FAT BOY","Base","Motorcycle","Powersports","USA"
"1984","Harley-Davidson","SOFTAIL CLASSIC","Base","Motorcycle","Powersports","USA"
"1984","Harley-Davidson","SOFTAIL SPECIAL","Base","Motorcycle","Powersports","USA"
"1984","Harley-Davidson","SPORTSTER 1200","Base","Motorcycle","Powersports","USA"
"1985","Harley-Davidson","CLASSIC ELECTRA","Base","Motorcycle","Powersports","USA"
"1985","Harley-Davidson","DYNA WIDE GLIDE","Base","Motorcycle","Powersports","USA"
"1985","Harley-Davidson","SOFTAIL CLASSIC","Base","Motorcycle","Powersports","USA"
"1985","Harley-Davidson","SPRINGER SOFTAL","Base","Motorcycle","Powersports","USA"
"1986","Harley-Davidson","CLASSIC TOUR GLIDE","Base","Motorcycle","Powersports","USA"
"1986","Harley-Davidson","DYNA WIDE GLIDE","Base","Motorcycle","Powersports","USA"
"1986","Harley-Davidson","ELECTRA GLIDE","Base","Motorcycle","Powersports","USA"
"1986","Harley-Davidson","FXR","Base","Motorcycle","Powersports","USA"
"1986","Harley-Davidson","SOFTAIL SPECIAL","Base","Motorcycle","Powersports","USA"
"1986","Harley-Davidson","SPORTSTER 1200","Base","Motorcycle","Powersports","USA"
"1987","Harley-Davidson","CLASSIC TOUR GLIDE","Base","Motorcycle","Powersports","USA"
"1987","Harley-Davidson","DYNA WIDE GLIDE","Base","Motorcycle","Powersports","USA"
"1987","Harley-Davidson","ROAD KING","Base","Motorcycle","Powersports","USA"
"1987","Harley-Davidson","SOFTAIL SPECIAL","Base","Motorcycle","Powersports","USA"
"1987","Harley-Davidson","SPRINGER SOFTAL","Base","Motorcycle","Powersports","USA"
"1988","Harley-Davidson","DYNA WIDE GLIDE","Base","Motorcycle","Powersports","USA"
"1988","Harley-Davidson","ELECTRA GLIDE","Base","Motorcycle","Powersports","USA"
"1988","Harley-Davidson","ROAD KING","Base","Motorcycle","Powersports","USA"
"1989","Harley-Davidson","DYNA LOW RIDER","Base","Motorcycle","Powersports","USA"
"1989","Harley-Davidson","ELECTRA GLIDE","Base","Motorcycle","Powersports","USA"
"1989","Harley-Davidson","FXR","Base","Motorcycle","Powersports","USA"
"1989","Harley-Davidson","SPORTSTER 883","Base","Motorcycle","Powersports","USA"
"1990","Harley-Davidson","CLASSIC ELECTRA","Base","Motorcycle","Powersports","USA"
"1990","Harley-Davidson","DYNA WIDE GLIDE","Base","Motorcycle","Powersports","USA"
"1990","Harley-Davidson","SOFTAIL CLASSIC","Base","Motorcycle","Powersports","USA"
"1990","Harley-Davidson","SPORTSTER 883","Base","Motorcycle","Powersports","USA"
"1990","Harley-Davidson","SPRINGER SOFTAL","Base","Motorcycle","Powersports","USA"
"1991","Harley-Davidson","CLASSIC TOUR GLIDE","Base","Motorcycle","Powersports","USA"
"1991","Harley-Davidson","DYNA LOW RIDER","Base","Motorcycle","Powersports","USA"
"1991","Harley-Davidson","FAT BOY","Base","Motorcycle","Powersports","USA"
"1991","Harley-Davidson","SPRINGER SOFTAL","Base","Motorcycle","Powersports","USA"
"1992","Harley-Davidson","CLASSIC ELECTRA","Base","Motorcycle","Powersports","USA"
